model,prompt_id,category,error,latency_seconds
gemma2:9b,13,reasoning,Unknown,16.9819438457489
gemma2:9b,35,practical_advice,Unknown,16.158801317214966
gemma2:9b,36,practical_advice,Unknown,16.13551425933838
gemma2:9b,27,coding,Unknown,16.974104166030884
gemma2:9b,14,reasoning,Unknown,16.418004035949707
gemma2:9b,23,coding,Unknown,16.363274097442627
gemma2:9b,21,coding,Unknown,16.458807945251465
gemma2:9b,32,practical_advice,Unknown,16.449650049209595
gemma2:9b,38,practical_advice,Unknown,16.203004360198975
gemma2:9b,30,practical_advice,Unknown,16.1701877117157
gemma2:9b,20,reasoning,Unknown,16.44711399078369
gemma2:9b,17,reasoning,Unknown,16.72856616973877
gemma2:9b,40,practical_advice,Unknown,16.455013036727905
gemma2:9b,34,practical_advice,Unknown,16.46626567840576
gemma2:9b,3,factual,Unknown,16.399073600769043
gemma2:9b,1,factual,Unknown,16.45967197418213
gemma2:9b,39,practical_advice,Unknown,16.506112098693848
gemma2:9b,28,coding,Unknown,16.953985452651978
gemma2:9b,6,factual,Unknown,16.34701633453369
gemma2:9b,7,factual,Unknown,16.406181573867798
gemma2:9b,9,factual,Unknown,16.683107614517212
gemma2:9b,15,reasoning,Unknown,16.346975564956665
gemma2:9b,16,reasoning,Unknown,16.470651388168335
gemma2:9b,18,reasoning,Unknown,16.489057540893555
gemma2:9b,2,factual,Unknown,16.453858613967896
gemma2:9b,8,factual,Unknown,16.65471625328064
